type,name,virtualsite_url,speakers/authors,abstract
Poster,3D Geometric Shape Assembly via Efficient Point Cloud Matching,https://ICML.cc//virtual/2024/poster/34528,"Nahyuk Lee, Juhong Min, Junha Lee, Seungwook Kim, Kanghee Lee, Jaesik Park, Minsu Cho","Learning to assemble geometric shapes into a larger target structure is a fundamental task with various practical applications. In this work, we tackle this problem by identifying mating surfaces of input point cloud pairs and establishing reliable correspondences between them by leveraging both coarse- and fine-level backbone features. To this end, we introduce Proxy Match Transform (PMT), an approximate high-order feature transform layer that enables reliable correspondences between mating surfaces of shape fragments while incurring low costs in memory and compute. We evaluate the proposed PMTR on the large-scale 3D shape assembly dataset, BreakingBad, and demonstrate its superior performance and efficiency compared to state-of-the-art methods."
Poster,3D-VLA: A 3D Vision-Language-Action Generative World Model,https://ICML.cc//virtual/2024/poster/34575,"Haoyu Zhen, Xiaowen Qiu, Peihao Chen, Jincheng Yang, Xin Yan, Yilun Du, Yining Hong, Chuang Gan","Recent vision-language-action (VLA) models rely on 2D inputs, lacking integration with the broader realm of the 3D physical world. Furthermore, they perform action prediction by learning a direct mapping from perception to action, neglecting the vast dynamics of the world and the relations between actions and dynamics. In contrast, human beings are endowed with world models that depict imagination about future scenarios to plan action accordingly. To this end, we propose 3D-VLA by introducing a new family of embodied foundation models that seamlessly link 3D perception, reasoning, and action through a generative world model. Specifically, 3D-VLA is built on top of a 3D-based large language model (LLM) and a set of action tokens is introduced to engage with the embodied environment.Furthermore, to inject generation abilities into the model, we train the embodied diffusion models and align them into the LLM for predicting the goal image and point cloud. To train our 3D-VLA, we curate a large-scale 3D embodied instruction dataset by extracting vast 3D-related information from existing robotics datasets. Our experiments on held-in datasets demonstrate that \modelname significantly improves the reasoning, multimodality generation and planning capabilities in embodied environments, showcasing its potential in real-world applications."
Poster,A2Q+: Improving Accumulator-Aware Weight Quantization,https://ICML.cc//virtual/2024/poster/33165,"Ian Colbert, Alessandro Pappalardo, Jakoba Petri-Koenig, Yaman Umuroglu","Quantization techniques commonly reduce the inference costs of neural networks by restricting the precision of weights and activations. Recent studies show that also reducing the precision of the accumulator can further improve hardware efficiency at the risk of numerical overflow, which introduces arithmetic errors that can degrade model accuracy. To avoid numerical overflow while maintaining accuracy, recent work proposed accumulator-aware quantization (A2Q)—a quantization-aware training method that constrains model weights during training to safely use a target accumulator bit width during inference. Although this shows promise, we demonstrate that A2Q relies on an overly restrictive constraint and a sub-optimal weight initialization strategy that each introduce superfluous quantization error. To address these shortcomings, we introduce: (1) an improved bound that alleviates accumulator constraints without compromising overflow avoidance; and (2) a new strategy for initializing quantized weights from pre-trained floating-point checkpoints. We combine these contributions with weight normalization to introduce A2Q+. We identify and characterize the various tradeoffs that arise as a consequence of accumulator constraints and support our analysis with experiments that show A2Q+ significantly improves these trade-offs when compared to prior methods."
Poster,A3S: A General Active Clustering Method with Pairwise Constraints,https://ICML.cc//virtual/2024/poster/33610,"Xun Deng, Junlong Liu, Han Zhong, Fuli Feng, Chen Shen, Xiangnan He, Jieping Ye, Zheng Wang","Active clustering aims to boost the clustering performance by integrating human-annotated pairwise constraints through strategic querying. Conventional approaches with semi-supervised clustering schemes encounter high query costs when applied to large datasets with numerous classes. To address these limitations, we propose a novel \underline{A}daptive \underline{A}ctive \underline{A}ggregation and \underline{S}plitting (A3S) framework, falling within the cluster-adjustment scheme in active clustering. A3S features strategic active clustering adjustment on the initial cluster result, which is obtained by an adaptive clustering algorithm. In particular, our cluster adjustment is inspired by the quantitative analysis of Normalized mutual information gain under the information theory framework and can provably improve the clustering quality. The proposed A3S framework significantly elevates the performance and scalability of active clustering. In extensive experiments across diverse real-world datasets, A3S achieves desired results with significantly fewer human queries compared with existing methods."
Poster,A Bayesian Approach to Online Planning,https://ICML.cc//virtual/2024/poster/34204,"Nir Greshler, David Ben Eli, Carmel Rabinovitz, Liran Gispan, Gabi Guetta, Guy Zohar, Aviv Tamar","The combination of Monte Carlo tree search and neural networks has revolutionized online planning. As neural network approximations are often imperfect, we ask whether uncertainty estimates about the network outputs could be used to improve planning.   We develop a Bayesian planning approach that facilitates such uncertainty quantification, inspired by classical ideas from the meta-reasoning literature.   We propose a Thompson sampling based algorithm for searching the tree of possible actions, for which we prove the first (to our knowledge) finite time Bayesian regret bound, and propose an efficient implementation for a restricted family of posterior distributions. In addition we propose a variant of the Bayes-UCB method applied to trees. Empirically, we demonstrate that on the ProcGen Maze environment, when the uncertainty estimates are accurate but the neural network output is inaccurate, our Bayesian approach searches the tree much more effectively. In addition, we investigate whether popular uncertainty estimation methods are accurate enough to yield significant gains in planning."
Poster,A Bias-Variance-Covariance Decomposition of Kernel Scores for Generative Models,https://ICML.cc//virtual/2024/poster/34065,"Sebastian Gregor Gruber, Florian Buettner","Generative models, like large language models, are becoming increasingly relevant in our daily lives, yet a theoretical framework to assess their generalization behavior and uncertainty does not exist.Particularly, the problem of uncertainty estimation is commonly solved in an ad-hoc and task-dependent manner.For example, natural language approaches cannot be transferred to image generation.In this paper, we introduce the first bias-variance-covariance decomposition for kernel scores.This decomposition represents a theoretical framework from which we derive a kernel-based variance and entropy for uncertainty estimation.We propose unbiased and consistent estimators for each quantity which only require generated samples but not the underlying model itself.Based on the wide applicability of kernels, we demonstrate our framework via generalization and uncertainty experiments for image, audio, and language generation.Specifically, kernel entropy for uncertainty estimation is more predictive of performance on CoQA and TriviaQA question answering datasets than existing baselines and can also be applied to closed-source models."
Poster,Absolute Policy Optimization: Enhancing Lower Probability Bound of Performance with High Confidence,https://ICML.cc//virtual/2024/poster/33989,"Weiye Zhao, Feihan Li, Yifan Sun, Rui Chen, Tianhao Wei, Changliu Liu","In recent years, trust region on-policy reinforcement learning has achieved impressive results in addressing complex control tasks and gaming scenarios. However, contemporary state-of-the-art algorithms within this category primarily emphasize improvement in expected performance, lacking the ability to control over the worst-case performance outcomes. To address this limitation, we introduce a novel objective function, optimizing which leads to guaranteed monotonic improvement in the lower probability bound of performance with high confidence. Building upon this groundbreaking theoretical advancement, we further introduce a practical solution called Absolute Policy Optimization (APO). Our experiments demonstrate the effectiveness of our approach across challenging continuous control benchmark tasks and extend its applicability to mastering Atari games. Our findings reveal that APO as well as its efficient variation Proximal Absolute Policy Optimization (PAPO) significantly outperforms state-of-the-art policy gradient algorithms, resulting in substantial improvements in worst-case performance, as well as expected performance."
Poster,Accelerated Algorithms for Constrained Nonconvex-Nonconcave Min-Max Optimization and Comonotone Inclusion,https://ICML.cc//virtual/2024/poster/34588,"Yang Cai, Argyris Oikonomou, Weiqiang Zheng","We study constrained comonotone min-max optimization, a structured class of nonconvex-nonconcave min-max optimization problems, and their generalization to comonotone inclusion. In our first contribution, we extend the *Extra Anchored Gradient (EAG)* algorithm, originally proposed by Yoon and Ryu (2021) for unconstrained min-max optimization, to  constrained comonotone min-max optimization and comonotone inclusion, achieving an optimal convergence rate of $O\left(\frac{1}{T}\right)$ among all first-order methods. Additionally, we prove that the algorithm's iterations converge to a point in the solution set. In our second contribution, we extend the *Fast Extra Gradient (FEG)* algorithm, as developed by Lee and Kim (2021), to constrained comonotone min-max optimization and comonotone inclusion, achieving the same $O\left(\frac{1}{T}\right)$ convergence rate. This rate is applicable to the broadest set of comonotone inclusion problems yet studied in the literature. Our analyses are based on simple potential function arguments, which might be useful for analyzing other accelerated algorithms."
Poster,Accelerated Policy Gradient for s-rectangular Robust MDPs with Large State Spaces,https://ICML.cc//virtual/2024/poster/34405,"Ziyi Chen, Heng Huang","Robust Markov decision process (robust MDP) is an important machine learning framework to make a reliable policy that is robust to environmental perturbation. Despite empirical success and popularity of policy gradient methods, existing policy gradient methods require at least iteration complexity $\mathcal{O}(\epsilon^{-4})$ to achieve global convergence on $s$-rectangular robust MDPs, and are limited to deterministic setting and small state space that are impractical in many applications. In this work, we propose an accelerated policy gradient algorithm with iteration complexity $\mathcal{O}(\epsilon^{-3}\ln\epsilon^{-1})$ in the deterministic setting using entropy regularization. Furthermore, we extend this algorithm to stochastic setting and large state space which achieves the sample complexity $\mathcal{O}(\epsilon^{-7}\ln\epsilon^{-1})$. In the meantime, our algorithms are also the first scalable policy gradient methods to entropy-regularized robust MDPs, which provide an important but underexplored machine learning framework."
Poster,Accelerated Policy Gradient: On the Convergence Rates of the Nesterov Momentum for Reinforcement Learning,https://ICML.cc//virtual/2024/poster/33678,"Yen-Ju Chen, Nai-Chieh Huang, Ching-pei Lee, Ping-Chun Hsieh","Various acceleration approaches for Policy Gradient (PG) have been analyzed within the realm of Reinforcement Learning (RL). However, the theoretical understanding of the widely used momentum-based acceleration method on PG remains largely open. In response to this gap, we adapt the celebrated Nesterov's accelerated gradient (NAG) method to policy optimization in RL, termed \textit{Accelerated Policy Gradient} (APG). To demonstrate the potential of APG in achieving fast convergence, we formally prove that with the true gradient and under the softmax policy parametrization, APG converges to an optimal policy at rates: (i) $\tilde{O}(1/t^2)$ with constant step sizes; (ii) $O(e^{-ct})$ with exponentially-growing step sizes. To the best of our knowledge, this is the first characterization of the convergence rates of NAG in the context of RL. Notably, our analysis relies on one interesting finding: Regardless of the parameter initialization, APG ends up entering a locally nearly-concave regime, where APG can significantly benefit from the momentum, within finite iterations.Through numerical validation and experiments on the Atari 2600 benchmarks, we confirm that APG exhibits a $\tilde{O}(1/t^2)$ rate with constant step sizes and a linear convergence rate with exponentially-growing step sizes, significantly improving convergence over the standard PG."
Poster,Accelerated Speculative Sampling Based on Tree Monte Carlo,https://ICML.cc//virtual/2024/poster/32890,"Zhengmian Hu, Heng Huang","Speculative Sampling (SpS) has been introduced to speed up inference of large language models (LLMs) by generating multiple tokens in a single forward pass under the guidance of a reference model, while preserving the original distribution. We observe that SpS can be derived through maximum coupling on the token distribution. However, we find that this approach is not optimal as it applies maximum coupling incrementally for each new token, rather than seeking a global maximum coupling that yields a faster algorithm, given the tree-space nature of LLM generative distributions. In this paper, we shift our focus from distributions on a token space to those on a tree space. We propose a novel class of Tree Monte Carlo (TMC) methods, demonstrating their unbiasedness and convergence. As a particular instance of TMC, our new algorithm, Accelerated Speculative Sampling (ASpS), outperforms traditional SpS by generating more tokens per step on average, achieving faster inference, while maintaining the original distribution."
Poster,Accelerating Convergence in Bayesian Few-Shot Classification,https://ICML.cc//virtual/2024/poster/34808,"Tianjun Ke, Haoqun Cao, Feng Zhou","Bayesian few-shot classification has been a focal point in the field of few-shot learning. This paper seamlessly integrates mirror descent-based variational inference into Gaussian process-based few-shot classification, addressing the challenge of non-conjugate inference. By leveraging non-Euclidean geometry, mirror descent achieves accelerated convergence by providing the steepest descent direction along the corresponding manifold. It also exhibits the parameterization invariance property concerning the variational distribution. Experimental results demonstrate competitive classification accuracy, improved uncertainty quantification, and faster convergence compared to baseline models. Additionally, we investigate the impact of hyperparameters and components. Code is publicly available at https://github.com/keanson/MD-BSFC."
Poster,"Accelerating Convergence of  Score-Based Diffusion Models, Provably",https://ICML.cc//virtual/2024/poster/34352,"Gen Li, Yu Huang, Timofey Efimov, Yuting Wei, Yuejie Chi, Yuxin Chen","Score-based diffusion models, while achieving remarkable empirical performance, often suffer from low sampling speed, due to extensive function evaluations needed during the sampling phase.  Despite a flurry of recent activities towards speeding up diffusion generative modeling in practice, theoretical underpinnings for acceleration techniques remain severely limited.  In this paper, we design novel training-free algorithms to accelerate popular deterministic (i.e., DDIM) and stochastic (i.e., DDPM) samplers.  Our accelerated deterministic sampler converges at a rate $O(\frac{1}{{T}^2})$ with $T$ the number of steps, improving upon the $O(\frac{1}{T})$ rate for the DDIM sampler;  and our accelerated stochastic sampler converges at a rate $O(\frac{1}{T})$, outperforming the rate $O(\frac{1}{\sqrt{T}})$ for the DDPM sampler.  The design of our algorithms leverages insights from higher-order approximation, and shares similar intuitions as popular high-order ODE solvers like the DPM-Solver-2. Our theory accommodates $\ell_2$-accurate score estimates, and does not require log-concavity or smoothness on the target distribution. Numerical experiments on real datasets are conducted to corroborate the effectiveness of the proposed samplers."
Poster,Accelerating Federated Learning with Quick Distributed Mean Estimation,https://ICML.cc//virtual/2024/poster/33421,"Ran Ben Basat, Shay Vargaftik, Amit Portnoy, Gil Einziger, Yaniv Ben Itzhak, Michael Mitzenmacher","Distributed Mean Estimation (DME), in which clients communicate vectors to a parameter server that estimates their average, is a fundamental building block in communication-efficient federated learning. In this paper, we improve on previous DME techniques that achieve the optimal Normalized Mean Squared Error (NMSE) guarantee by asymptotically improving the complexity for either encoding or decoding (or both). To achieve this, we formalize the problem in a novel way that allows us to use off-the-shelf mathematical solvers to design the quantization."
Poster,Accelerating Heterogeneous Federated Learning with Closed-form Classifiers,https://ICML.cc//virtual/2024/poster/33597,"Eros Fanì, Raffaello Camoriano, Barbara Caputo, Marco Ciccone","Federated Learning (FL) methods often struggle in highly statistically heterogeneous settings, resulting in client drift due to biased local solutions. This phenomenon is particularly pronounced in the final classification layer, negatively impacting convergence speed and accuracy. To tackle this issue, we introduce Federated Recursive Ridge Regression (Fed3R). Our method fits a Ridge Regression-based classifier computed in closed form exploiting pre-trained features. Fed3R is immune to statistical heterogeneity and invariant to the sampling order of the clients. Therefore, it proves particularly effective in extreme cross-device scenarios. Furthermore, it is fast and cheap in terms of communication and computation costs, requiring up to two orders of magnitude fewer resources than the competitors. Finally, we propose to leverage the Fed3R classifier parameters as an initialization for the softmax classifier and subsequently fine-tune the model using another FL algorithm (Fed3R with Fine-Tuning, Fed3R-FT). Our findings also indicate that maintaining a fixed classifier aids in stabilizing the training and learning more discriminative features in extreme cross-device settings."
Poster,Accelerating Iterative Retrieval-augmented Language Model Serving with Speculation,https://ICML.cc//virtual/2024/poster/34694,"Zhihao Zhang, Alan Zhu, Lijie Yang, Yihua Xu, Lanting Li, Phitchaya Phothilimthana, Zhihao Jia","Retrieval-augmented language models (RaLM)have demonstrated the potential to solveknowledge-intensive natural language processing (NLP) tasks by combining a non-parametricknowledge base with a parametric languagemodel. Instead of fine-tuning a fully parametricmodel, RaLM excels at its low-cost adaptation tothe latest data and better source attribution mechanisms. Iterative RaLM in particular delivers better generation quality using more frequent interactions between the retriever and the languagemodel at the cost of high retrieval overhead. To alleviate this, we propose RaLMSpec, a speculation-inspired framework that provides generic speed-up over iterative RaLM while preserving the samemodel outputs through speculative retrieval andbatched verification. By further incorporatingprefetching, optimal speculation stride scheduler,and asynchronous verification, RaLMSpec canautomatically exploit the acceleration potentialto the fullest. For document-level iterative RaLM serving,extensive evaluations over three language models on four downstream QA datasets demonstratethat RaLMSpec can achieve a speed-up ratio of1.75-2.39×, 1.04-1.39×, and 1.31-1.77× whenthe retriever is an exact dense retriever, approximate dense retriever, and sparse retriever respectively compared with the baseline. For token-level iterative RaLM (KNN-LM)serving, RaLMSpec can achieve a speed-up ratio of up to 7.59× and 2.45× when the retriever isan exact dense and approximate dense retriever,respectively, compared with the baseline."
Poster,Accelerating Legacy Numerical Solvers by Non-intrusive Gradient-based Meta-solving,https://ICML.cc//virtual/2024/poster/32660,"Sohei Arisaka, Qianxiao Li","Scientific computing is an essential tool for scientific discovery and engineering design, and its computational cost is always a main concern in practice. To accelerate scientific computing, it is a promising approach to use machine learning (especially meta-learning) techniques for selecting hyperparameters of traditional numerical methods. There have been numerous proposals to this direction, but many of them require automatic-differentiable numerical methods. However, in reality, many practical applications still depend on well-established but non-automatic-differentiable legacy codes, which prevents practitioners from applying the state-of-the-art research to their own problems. To resolve this problem, we propose a non-intrusive methodology with a novel gradient estimation technique to combine machine learning and legacy numerical codes without any modification. We theoretically and numerically show the advantage of the proposed method over other baselines and present applications of accelerating established non-automatic-differentiable numerical solvers implemented in PETSc, a widely used open-source numerical software library."
Poster,Accelerating Look-ahead in Bayesian Optimization: Multilevel Monte Carlo is All you Need,https://ICML.cc//virtual/2024/poster/35036,"Shangda Yang, Vitaly Zankin, Maximilian Balandat, Kevin Carlberg, Stefan Scherer, Neil Walton, Kody Law","We leverage multilevel Monte Carlo (MLMC) to improve the performance of multi-step look-ahead Bayesian optimization (BO) methods that involve nested expectations and maximizations. The complexity rate of naive Monte Carlo degrades for nested operations, whereas MLMC is capable of achieving the canonical Monte Carlo convergence rate for this type of problem, independently of dimension and without any smoothness assumptions. Our theoretical study focuses on the approximation improvements for one- and two-step look-ahead acquisition functions, but, as we discuss, the approach is generalizable in various ways, including beyond the context of BO. Findings are verified numerically and the benefits of MLMC for BO are illustrated on several benchmark examples."
Poster,Accelerating Parallel Sampling of Diffusion Models,https://ICML.cc//virtual/2024/poster/34665,"Zhiwei Tang, Jiasheng Tang, Hao Luo, Fan Wang, Tsung-Hui Chang","Diffusion models have emerged as state-of-the-artgenerative models for image generation. However, sampling from diffusion models is usuallytime-consuming due to the inherent autoregressive nature of their sampling process. In thiswork, we propose a novel approach that accelerates the sampling of diffusion models by parallelizing the autoregressive process. Specifically,we reformulate the sampling process as solving asystem of triangular nonlinear equations throughfixed-point iteration. With this innovative formulation, we explore several systematic techniquesto further reduce the iteration steps required bythe solving process. Applying these techniques,we introduce ParaTAA, a universal and training-free parallel sampling algorithm that can leverage extra computational and memory resourcesto increase the sampling speed. Our experimentsdemonstrate that ParaTAA can decrease the inference steps required by common sequential sampling algorithms such as DDIM and DDPM bya factor of 4$\sim$14 times. Notably, when applyingParaTAA with 100 steps DDIM for Stable Diffusion, a widely-used text-to-image diffusion model,it can produce the same images as the sequentialsampling in only 7 inference steps."
